file,real_seconds,user_seconds,sys_seconds,cpu_seconds
apple_swift-nio__macos_benchmarks.yml,0.22,0.36,0.04,0.4
apple_swift-nio__macos_tests.yml,0.21,0.32,0.05,0.37
apple_swift-nio__main.yml,0.21,0.35,0.03,0.38
apple_swift-nio__pull_request.yml,0.23,0.39,0.02,0.41
apple_swift-nio__pull_request_label.yml,0.25,0.37,0.05,0.42
apple_swift-nio__release_builds.yml,0.21,0.38,0.0,0.38
apple_swift-nio__static_sdk.yml,0.22,0.41,0.01,0.42
apple_swift-nio__swift_6_language_mode.yml,0.22,0.37,0.04,0.41
apple_swift-nio__swift_load_test_matrix.yml,0.23,0.39,0.01,0.4
apple_swift-nio__swift_matrix.yml,0.22,0.36,0.03,0.39
apple_swift-nio__swift_test_matrix.yml,0.22,0.38,0.02,0.4
apple_swift-nio__unit_tests.yml,0.24,0.35,0.05,0.4
apple_swift-nio__wasm_swift_sdk.yml,0.26,0.41,0.06,0.47
apple_swift-protobuf__build.yml,0.26,0.39,0.05,0.44
apple_swift-protobuf__check_upstream_protos.yml,0.28,0.4,0.05,0.45
apple_swift-protobuf__head_conformance.yml,0.25,0.38,0.03,0.41
apple_swift-protobuf__pull_request_label.yml,0.25,0.36,0.05,0.41
apple_swift-protobuf__update_protobuf.yml,0.26,0.41,0.02,0.43
aws_amazon-ecs-agent__gitsecrets.yml,0.22,0.34,0.04,0.38
aws_amazon-ecs-agent__gomod.yml,0.27,0.41,0.04,0.45
aws_amazon-ecs-agent__linux.yml,0.27,0.43,0.03,0.46
aws_amazon-ecs-agent__static.yml,0.25,0.37,0.05,0.42
aws_amazon-ecs-agent__windows.yml,0.23,0.37,0.02,0.39
aws_amazon-vpc-cni-k8s__deps.yml,0.27,0.44,0.02,0.46
aws_amazon-vpc-cni-k8s__generate-limits.yaml,0.23,0.37,0.04,0.41
aws_amazon-vpc-cni-k8s__integration-tests.yaml,0.21,0.37,0.01,0.38
aws_amazon-vpc-cni-k8s__issue-closed-message.yaml,0.28,0.44,0.04,0.48
aws_amazon-vpc-cni-k8s__issue-stale-pr.yaml,0.21,0.34,0.05,0.39
aws_amazon-vpc-cni-k8s__kops-test.yaml,0.22,0.35,0.06,0.41
aws_amazon-vpc-cni-k8s__nightly-cron-tests.yaml,0.22,0.36,0.03,0.39
aws_amazon-vpc-cni-k8s__pr-automated-tests.yaml,-1.43,0.44,0.05,0.49
aws_amazon-vpc-cni-k8s__pr-manual-tests.yaml,0.27,0.4,0.06,0.46
aws_amazon-vpc-cni-k8s__release.yaml,0.25,0.38,0.04,0.42
aws_amazon-vpc-cni-k8s__soak-tests.yml,0.21,0.35,0.01,0.36
aws_amazon-vpc-cni-k8s__weekly-cron-tests.yaml,0.22,0.37,0.01,0.38
aws_aws-cdk__analytics-metadata-updater.yml,0.21,0.32,0.06,0.38
aws_aws-cdk__auto-approve.yml,0.21,0.37,0.0,0.37
aws_aws-cdk__check-lfs.yml,0.21,0.38,0.01,0.39
aws_aws-cdk__close-stale-issues.yml,0.22,0.36,0.04,0.4
aws_aws-cdk__close-stale-prs.yml,0.21,0.36,0.02,0.38
aws_aws-cdk__codebuild-pr-build.yml,0.22,0.38,0.03,0.41
aws_aws-cdk__codecov-collect.yml,0.22,0.33,0.08,0.41
aws_aws-cdk__codecov-upload.yml,0.23,0.42,0.01,0.43
aws_aws-cdk__codeql.yml,0.24,0.37,0.05,0.42
aws_aws-cdk__enum-auto-updater.yml,0.22,0.36,0.03,0.39
aws_aws-cdk__enum-static-mapping-updater.yml,0.22,0.35,0.07,0.42
aws_aws-cdk__github-merit-badger.yml,0.22,0.34,0.05,0.39
aws_aws-cdk__handle-stale-discussions.yml,0.22,0.37,0.02,0.39
aws_aws-cdk__integration-test-deployment-auto.yml,0.21,0.35,0.03,0.38
aws_aws-cdk__integration-test-deployment.yml,0.22,0.37,0.02,0.39
aws_aws-cdk__issue-label-assign.yml,0.21,0.33,0.05,0.38
aws_aws-cdk__issue-regression-labeler.yml,0.24,0.41,0.01,0.42
aws_aws-cdk__issue-reprioritization.yml,0.22,0.34,0.06,0.4
aws_aws-cdk__issue-sync.yml,0.22,0.38,0.0,0.38
aws_aws-cdk__lambda-runtime-tests.yml,0.22,0.29,0.1,0.39
aws_aws-cdk__lock-issue-pr-with-message.yml,0.21,0.35,0.03,0.38
aws_aws-cdk__pr-build.yml,0.21,0.36,0.02,0.38
aws_aws-cdk__pr-labeler.yml,0.23,0.39,0.01,0.4
aws_aws-cdk__pr-linter-exemption-labeler.yml,0.21,0.36,0.04,0.4
aws_aws-cdk__pr-linter-review-trigger.yml,0.21,0.36,0.02,0.38
aws_aws-cdk__pr-linter.yml,0.24,0.4,0.02,0.42
aws_aws-cdk__project-prioritization-added-on.yml,0.22,0.4,0.0,0.4
aws_aws-cdk__project-prioritization-assignment.yml,0.21,0.32,0.06,0.38
aws_aws-cdk__project-prioritization-bug.yml,0.22,0.37,0.02,0.39
aws_aws-cdk__project-prioritization-needs-attention.yml,0.21,0.31,0.06,0.37
aws_aws-cdk__project-prioritization-r2-assignment.yml,0.22,0.37,0.02,0.39
aws_aws-cdk__project-prioritization-r5-assignment.yml,0.22,0.37,0.02,0.39
aws_aws-cdk__request-cli-integ-test.yml,0.22,0.37,0.03,0.4
aws_aws-cdk__security-guardian.yml,0.21,0.36,0.02,0.38
aws_aws-cdk__security-report.yml,0.24,0.39,0.02,0.41
aws_aws-cdk__spec-update.yml,0.22,0.39,0.02,0.41
aws_aws-cdk__sync-from-upstream.yml,0.22,0.36,0.02,0.38
aws_aws-cdk__unlock-reopened-issue-pr-with-message.yml,0.22,0.36,0.03,0.39
aws_aws-cdk__update-contributors.yml,0.22,0.38,0.0,0.38
aws_aws-cdk__update-metadata-regions.yml,0.22,0.39,0.01,0.4
aws_aws-cdk__yarn-upgrade-need-manual-work.yml,0.22,0.35,0.04,0.39
aws_aws-cdk__yarn-upgrade.yml,0.21,0.4,0.01,0.41
aws_aws-cli__changelog.yml,0.22,0.35,0.03,0.38
aws_aws-cli__closed-issue-update.yml,0.22,0.36,0.02,0.38
aws_aws-cli__doc-pr-cherry-pick.yml,0.22,0.36,0.04,0.4
aws_aws-cli__fail-master-prs.yml,0.21,0.36,0.03,0.39
aws_aws-cli__handle-stale-discussions.yml,0.21,0.37,0.0,0.37
aws_aws-cli__issue-regression-labeler.yml,0.21,0.37,0.03,0.4
aws_aws-cli__run-bundle-test.yml,0.22,0.36,0.02,0.38
aws_aws-cli__run-dep-tests.yml,0.21,0.34,0.02,0.36
aws_aws-cli__run-tests.yml,0.22,0.36,0.02,0.38
aws_aws-cli__stale_community_prs.yml,0.24,0.43,0.01,0.44
aws_aws-cli__stale_issue.yml,0.21,0.4,0.0,0.4
aws_aws-cli__update-lockfiles.yml,0.23,0.37,0.04,0.41
aws_aws-lambda-go__build-lambda-zip.yml,0.21,0.36,0.02,0.38
aws_aws-lambda-go__codeql-analysis.yml,0.2,0.33,0.02,0.35
aws_aws-lambda-go__lint.yml,0.21,0.37,0.02,0.39
aws_aws-lambda-go__tests.yml,0.21,0.34,0.05,0.39
aws_aws-sam-cli__automated-updates-to-sam-cli.yml,0.22,0.43,0.0,0.43
aws_aws-sam-cli__build.yml,0.22,0.39,0.01,0.4
aws_aws-sam-cli__close-issue-on-release.yml,0.21,0.35,0.03,0.38
aws_aws-sam-cli__close-stale-issues.yml,0.21,0.32,0.05,0.37
aws_aws-sam-cli__closed-issue-message.yml,0.23,0.38,0.02,0.4
aws_aws-sam-cli__codeql.yml,0.22,0.35,0.04,0.39
aws_aws-sam-cli__integration-tests.yml,0.23,0.33,0.06,0.39
aws_aws-sam-cli__notify-slack.yml,0.23,0.39,0.03,0.42
aws_aws-sam-cli__pr-labeler.yml,0.22,0.34,0.04,0.38
aws_aws-sam-cli__update-reproducibles.yml,0.21,0.36,0.01,0.37
aws_aws-sam-cli__validate_pyinstaller.yml,0.22,0.36,0.03,0.39
aws_aws-sdk-cpp__clang-format.yml,0.23,0.37,0.04,0.41
aws_aws-sdk-cpp__closed-issue-message.yml,0.22,0.38,0.01,0.39
aws_aws-sdk-cpp__cspell.yml,0.24,0.36,0.06,0.42
aws_aws-sdk-cpp__handle-stale-discussions.yml,0.21,0.33,0.03,0.36
aws_aws-sdk-cpp__issue-regression-labeler.yml,0.21,0.36,0.02,0.38
aws_aws-sdk-cpp__pull-request-build.yml,0.22,0.37,0.03,0.4
aws_aws-sdk-cpp__stale_issue.yml,0.21,0.33,0.05,0.38
aws_aws-sdk-go-v2__closed-issue-message.yml,0.24,0.4,0.03,0.43
aws_aws-sdk-go-v2__codegen.yml,0.21,0.38,0.01,0.39
aws_aws-sdk-go-v2__go.yml,0.23,0.4,0.01,0.41
aws_aws-sdk-go-v2__handle-stale-discussions.yml,0.23,0.37,0.04,0.41
aws_aws-sdk-go-v2__integration-tests.yml,0.24,0.33,0.11,0.44
aws_aws-sdk-go-v2__issue-regression-labeler.yml,0.21,0.37,0.01,0.38
aws_aws-sdk-go-v2__license-check.yml,0.22,0.3,0.1,0.4
aws_aws-sdk-go-v2__slack.yml,0.21,0.33,0.03,0.36
aws_aws-sdk-go-v2__snapshot.yml,0.21,0.37,0.02,0.39
aws_aws-sdk-go-v2__stale_issue.yml,0.23,0.37,0.04,0.41
aws_aws-sdk-java-v2__api-surface-area-review-verification.yml,0.21,0.35,0.03,0.38
aws_aws-sdk-java-v2__changelog-verification.yml,0.22,0.34,0.07,0.41
aws_aws-sdk-java-v2__closed-issue-message.yml,0.21,0.36,0.02,0.38
aws_aws-sdk-java-v2__codebuild-ci-integration-tests.yml,0.22,0.39,0.01,0.4
aws_aws-sdk-java-v2__codebuild-ci.yml,0.22,0.38,0.02,0.4
aws_aws-sdk-java-v2__codeql.yml,0.21,0.39,0.01,0.4
aws_aws-sdk-java-v2__handle-stale-discussions.yml,0.21,0.35,0.05,0.4
aws_aws-sdk-java-v2__issue-regression-labeler.yml,0.24,0.37,0.04,0.41
aws_aws-sdk-java-v2__lock-conversation-closed-pr.yml,0.22,0.36,0.04,0.4
aws_aws-sdk-java-v2__merge-queue-metric.yml,0.22,0.4,0.01,0.41
aws_aws-sdk-java-v2__mixed-version-compatibility-review.yml,0.21,0.34,0.03,0.37
